vehicle_id,line_number,route_id,nearest_stop,delay_seconds,delay_minutes,timestamp_local,date,hour,dow,is_weekend,season,latitude,longitude
18/947,173,6173,2413229,-914,-15.23,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.157989501953125,24.614606857299805
17/5,583K,5583K,4200206,2806,46.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.286590576171875,24.78726577758789
36/149,961B,9961B,4880214,-4814,-80.23,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.370826721191406,25.06971549987793
36/192,313,4313,4160201,2746,45.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.269161224365234,24.87221908569336
36/197,413,4413,4150232,4486,74.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.2676887512207,24.85622215270996
12/2228,737K,4737K,4820205,-4694,-78.23,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.34017562866211,25.09707260131836
36/14,723,4723,4740222,3706,61.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.315338134765625,25.071125030517578
54/10,137,2137,2321216,706,11.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.17267990112305,24.72239875793457
54/14,148,2148,2412201,2986,49.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.14025115966797,24.670303344726562
54/11,119,2119,2212217,-974,-16.23,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.17737579345703,24.7995662689209
20/17,583,5583,4520233,6586,109.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.30199432373047,24.957347869873047
22/1235,24,1024,1150120,6166,102.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.187381744384766,24.90428352355957
21/28,713,4713,4940230,3706,61.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.2770881652832,25.103700637817383
21/27,719K,4719K,4940218,-4813,-80.22,2025-10-15 12:10:47,2025-10-15,12,2,0,autumn,60.27476119995117,25.104122161865234
22/1061,582,2582,2632234,5686,94.77,2025-10-15 12:10:46,2025-10-15,12,2,0,autumn,60.22587585449219,24.683629989624023
18/147,843,9843,1453189,-5133,-85.55,2025-10-15 12:14:27,2025-10-15,12,2,0,autumn,60.2098503112793,25.076148986816406
54/9,229,2229,2151200,6866,114.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.228755950927734,24.75063133239746
54/1,116,2116,2211292,1946,32.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.17683029174805,24.80638313293457
54/2,207,2207,2111244,7107,118.45,2025-10-15 12:14:27,2025-10-15,12,2,0,autumn,60.22881317138672,24.812936782836914
54/3,232,2232,3170217,-694,-11.57,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.211238861083984,24.70107650756836
54/4,168,2168,2613201,-394,-6.57,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.20222473144531,24.653457641601562
54/6,149,2149,2413218,2246,37.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.15456771850586,24.6387939453125
18/947,173,6173,2443227,-934,-15.57,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.153717041015625,24.670528411865234
36/149,961B,9961B,9651707,-4774,-79.57,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.38566589355469,25.032821655273438
36/192,313,4313,4160211,2306,38.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.26271438598633,24.87123680114746
36/197,413,4413,4150240,4826,80.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.27250671386719,24.856109619140625
36/14,723,4723,4740237,4106,68.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.3222541809082,25.082199096679688
54/10,137,2137,2323204,806,13.43,2025-10-15 12:14:26,2025-10-15,12,2,0,autumn,60.17072677612305,24.726428985595703
